"Statistic Label","CensusYear","Sex","Age Group","Towns","UNIT","VALUE"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Birr, Co Offaly","Number","20"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Banagher, Co Offaly","Number","6"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Kinnegad, Co Westmeath","Number","1"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Killucan-Rathwire, Co Westmeath","Number","3"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Mullingar, Co Westmeath","Number","82"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Kilbeggan, Co Westmeath","Number","3"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Moate, Co Westmeath","Number","3"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Athlone, Counties Westmeath & Roscommon","Number","82"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Courtown, Co Wexford","Number","21"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Gorey, Co Wexford","Number","42"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Rosslare Harbour, Co Wexford","Number","5"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Rosslare, Co Wexford","Number","8"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Castlebridge, Co Wexford","Number","4"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Wexford, Co Wexford","Number","72"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Enniscorthy, Co Wexford","Number","43"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Bunclody, Counties Wexford & Carlow","Number","5"
"Population with a disability to a great extent","2022","Female","65 - 69 years","New Ross, Wexford & Kilkenny","Number","26"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Wicklow, Co Wicklow","Number","42"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Kilcoole, Co Wicklow","Number","11"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Greystones-Delgany, Co Wicklow","Number","40"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Rathnew, Co Wicklow","Number","9"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Newtownmountkennedy, Co Wicklow","Number","11"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ashford, Co Wicklow","Number","6"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Bray, Counties Wicklow & Dublin","Number","86"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Arklow, Co Wicklow","Number","40"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Enniskerry, Co Wicklow","Number","2"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Rathdrum, Co Wicklow","Number","9"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Blessington, Counties Wicklow & Kildare","Number","9"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Baltinglass, Co Wicklow","Number","5"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Killaloe, Co Clare","Number","7"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Sixmilebridge, Co Clare","Number","10"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Shannon, Co Clare","Number","32"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Newmarket-On-Fergus, Co Clare","Number","4"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ennis, Co Clare","Number","85"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Kilrush, Co Clare","Number","8"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Cork city and suburbs, Co Cork","Number","673"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Blarney, Co Cork","Number","6"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Tower, Co Cork","Number","7"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Youghal, Co Cork","Number","40"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Castlemartyr, Co Cork","Number","4"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Cloyne, Co Cork","Number","5"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Midleton, Co Cork","Number","22"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Mitchelstown, Co Cork","Number","16"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Carrigtwohill, Co Cork","Number","6"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Fermoy, Co Cork","Number","14"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Rathcormac, Co Cork","Number","4"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Crosshaven, Co Cork","Number","11"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Cobh, Co Cork","Number","32"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Passage West-Monkstown, Co Cork","Number","11"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Watergrasshill, Co Cork","Number","2"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Carrigaline, Co Cork","Number","39"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Kinsale, Co Cork","Number","21"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Mallow, Co Cork","Number","53"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Charleville, Co Cork","Number","14"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Bandon, Co Cork","Number","30"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Clonakilty, Co Cork","Number","16"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Kanturk, Co Cork","Number","15"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Macroom, Co Cork","Number","13"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Millstreet, Co Cork","Number","7"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Dunmanway, Co Cork","Number","7"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Skibbereen, Co Cork","Number","7"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Bantry, Co Cork","Number","14"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Castleisland, Co Kerry","Number","10"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Listowel, Co Kerry","Number","17"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Killarney, Co Kerry","Number","38"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Kenmare, Co Kerry","Number","12"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ballybunion, Co Kerry","Number","7"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Tralee, Co Kerry","Number","89"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Killorglin, Co Kerry","Number","6"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Dingle-Daingean Uí Chuis, Co Kerry","Number","5"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Limerick city and suburbs, Counties Limerick & Clare","Number","322"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Caherconlish, Co Limerick","Number","7"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Castleconnell, Co Limerick","Number","7"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Annacotty, Co Limerick","Number","11"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Kilmallock, Co Limerick","Number","6"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Newcastle West, Co Limerick","Number","27"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Abbeyfeale, Co Limerick","Number","8"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Roscrea, Co Tipperary","Number","22"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Thurles, Co Tipperary","Number","35"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Templemore, Co Tipperary","Number","7"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Nenagh, Co Tipperary","Number","31"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Newport, Co Tipperary","Number","8"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ballina, Co Tipperary","Number","5"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Carrick-on-Suir, Co Tipperary","Number","30"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Fethard, Co Tipperary","Number","7"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Clonmel, Counties Tipperary & Waterford","Number","73"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Cashel, Co Tipperary","Number","17"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Cahir, Co Tipperary","Number","9"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Tipperary, Co Tipperary","Number","30"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Waterford city and suburbs, Counties Waterford & Kilkenny","Number","196"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Dunmore East, Co Waterford","Number","8"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Tramore, Co Waterford","Number","33"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Portlaw, Co Waterford","Number","4"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Dungarvan, Co Waterford","Number","34"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Galway city and suburbs, Co Galway","Number","205"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ballinasloe, Co Galway","Number","29"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Portumna, Co Galway","Number","4"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Loughrea, Co Galway","Number","23"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Athenry, Co Galway","Number","8"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Gort, Co Galway","Number","10"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Tuam, Co Galway","Number","25"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Oranmore, Co Galway","Number","10"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Baile Chláir, Co Galway","Number","0"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Bearna, Co Galway","Number","4"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Maigh Cuilinn, Co Galway","Number","4"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Oughterard, Co Galway","Number","9"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Carrick-On-Shannon, Counties Leitrim & Roscommon","Number","8"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Manorhamilton, Co Leitrim","Number","4"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ballyhaunis, Co Mayo","Number","3"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Claremorris, Co Mayo","Number","11"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ballina, Co Mayo","Number","35"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ballinrobe, Co Mayo","Number","18"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Castlebar, Co Mayo","Number","30"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Westport, Co Mayo","Number","24"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Roscommon, Co Roscommon","Number","29"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Boyle, Co Roscommon","Number","13"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Castlerea, Co Roscommon","Number","10"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ballaghaderreen, Co Roscommon","Number","7"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Sligo, Co Sligo","Number","87"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Collooney, Co Sligo","Number","6"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ballysadare, Co Sligo","Number","2"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ballymote, Co Sligo","Number","5"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Strandhill, Co Sligo","Number","3"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Tubbercurry, Co Sligo","Number","9"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Kingscourt, Co Cavan","Number","9"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Mullagh, Co Cavan","Number","3"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Bailieborough, Co Cavan","Number","9"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Virginia, Co Cavan","Number","7"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Cootehill, Co Cavan","Number","5"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ballyjamesduff, Co Cavan","Number","5"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Cavan, Co Cavan","Number","36"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Belturbet, Co Cavan","Number","8"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Carndonagh, Co Donegal","Number","12"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Buncrana, Co Donegal","Number","20"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Lifford, Co Donegal","Number","10"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Convoy, Co Donegal","Number","6"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Letterkenny, Co Donegal","Number","62"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ballybofey-Stranorlar, Co Donegal","Number","27"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Donegal, Co Donegal","Number","11"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Ballyshannon, Co Donegal","Number","8"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Bundoran, Co Donegal","Number","13"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Carrickmacross, Co Monaghan","Number","12"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Castleblayney, Co Monaghan","Number","21"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Monaghan, Co Monaghan","Number","19"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Clones, Co Monaghan","Number","13"
"Population with a disability to a great extent","2022","Female","65 - 69 years","State","Number","13706"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Other towns with a population between 1,000 - 1,499","Number","330"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Other towns with a population under 500","Number","372"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Other towns with a population between 500 - 999","Number","357"
"Population with a disability to a great extent","2022","Female","65 - 69 years","Remainder of country","Number","3561"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Tullow, Co Carlow","Number","10"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Carlow, Counties Carlow & Laois","Number","78"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Muinebeag (Bagenalstown), Co Carlow","Number","11"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Dublin city and suburbs, Counties Dublin & Meath","Number","3396"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Saggart, Co Dublin","Number","8"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Rathcoole, Co Dublin","Number","16"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Newcastle, Co Dublin","Number","12"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Rush, Co Dublin","Number","21"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Skerries, Co Dublin","Number","28"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Portmarnock, Co Dublin","Number","31"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Donabate, Co Dublin","Number","13"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Malahide, Co Dublin","Number","31"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Lusk, Co Dublin","Number","14"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Balrothery, Co Dublin","Number","4"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Balbriggan, Co Dublin","Number","44"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kinsealy-Drinan, Co Dublin","Number","7"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Swords, Co Dublin","Number","69"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Leixlip, Co Kildare","Number","38"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Celbridge, Co Kildare","Number","38"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kill, Co Kildare","Number","6"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Maynooth, Co Kildare","Number","24"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Naas, Co Kildare","Number","52"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Sallins, Co Kildare","Number","7"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kilcock, Counties Kildare & Meath","Number","9"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Clane, Co Kildare","Number","20"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kilcullen, Co Kildare","Number","10"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Prosperous, Co Kildare","Number","3"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Newbridge, Co Kildare","Number","56"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Castledermot, Co Kildare","Number","4"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Allenwood, Co Kildare","Number","5"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kildare, Co Kildare","Number","19"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Derrinturn, Co Kildare","Number","6"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Athy, Co Kildare","Number","34"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Rathangan, Co Kildare","Number","9"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Monasterevin, Co Kildare","Number","24"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Graiguenamanagh-Tinnahinch, Counties Kilkenny & Carlow","Number","7"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Thomastown, Co Kilkenny","Number","6"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kilkenny, Co Kilkenny","Number","75"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Callan, Co Kilkenny","Number","7"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Portarlington, Counties Laois & Offaly","Number","26"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Portlaoise, Co Laois","Number","45"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Mountmellick, Co Laois","Number","23"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Abbeyleix, Co Laois","Number","5"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Mountrath, Co Laois","Number","5"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Edgeworthstown, Co Longford","Number","8"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Ballymahon, Co Longford","Number","8"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Longford, Co Longford","Number","36"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Lanesborough-Ballyleague, Counties Roscommon & Longford","Number","6"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Carlingford, Co Louth","Number","3"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Clogherhead, Co Louth","Number","4"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Termonfeckin, Co Louth","Number","8"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Drogheda, Counties Louth & Meath","Number","137"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Dunleer, Co Louth","Number","4"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Dundalk, Co Louth","Number","140"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Tullyallen, Co Louth","Number","0"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Ardee, Co Louth","Number","19"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Number","33"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Stamullen, Co Meath","Number","3"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Ashbourne, Co Meath","Number","36"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Duleek, Co Meath","Number","13"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Ratoath, Co Meath","Number","12"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Dunboyne, Co Meath","Number","10"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Dunshaughlin, Co Meath","Number","3"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Navan, Co Meath","Number","70"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Trim, Co Meath","Number","33"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Enfield, Co Meath","Number","5"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kells, Co Meath","Number","29"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Athboy, Co Meath","Number","5"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Longwood, Co Meath","Number","3"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Ballivor, Co Meath","Number","4"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Edenderry, Co Offaly","Number","21"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Tullamore, Co Offaly","Number","56"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Clara, Co Offaly","Number","16"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Birr, Co Offaly","Number","23"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Banagher, Co Offaly","Number","6"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kinnegad, Co Westmeath","Number","9"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Killucan-Rathwire, Co Westmeath","Number","4"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Mullingar, Co Westmeath","Number","47"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kilbeggan, Co Westmeath","Number","2"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Moate, Co Westmeath","Number","13"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Athlone, Counties Westmeath & Roscommon","Number","61"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Courtown, Co Wexford","Number","14"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Gorey, Co Wexford","Number","22"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Rosslare Harbour, Co Wexford","Number","5"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Rosslare, Co Wexford","Number","4"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Castlebridge, Co Wexford","Number","4"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Wexford, Co Wexford","Number","83"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Enniscorthy, Co Wexford","Number","45"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Bunclody, Counties Wexford & Carlow","Number","10"
"Population with a disability to a great extent","2022","Female","70 - 74 years","New Ross, Wexford & Kilkenny","Number","25"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Wicklow, Co Wicklow","Number","23"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kilcoole, Co Wicklow","Number","13"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Greystones-Delgany, Co Wicklow","Number","41"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Rathnew, Co Wicklow","Number","4"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Newtownmountkennedy, Co Wicklow","Number","10"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Ashford, Co Wicklow","Number","3"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Bray, Counties Wicklow & Dublin","Number","127"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Arklow, Co Wicklow","Number","44"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Enniskerry, Co Wicklow","Number","5"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Rathdrum, Co Wicklow","Number","5"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Blessington, Counties Wicklow & Kildare","Number","7"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Baltinglass, Co Wicklow","Number","9"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Killaloe, Co Clare","Number","10"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Sixmilebridge, Co Clare","Number","3"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Shannon, Co Clare","Number","44"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Newmarket-On-Fergus, Co Clare","Number","9"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Ennis, Co Clare","Number","83"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kilrush, Co Clare","Number","13"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Cork city and suburbs, Co Cork","Number","722"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Blarney, Co Cork","Number","6"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Tower, Co Cork","Number","7"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Youghal, Co Cork","Number","36"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Castlemartyr, Co Cork","Number","1"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Cloyne, Co Cork","Number","5"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Midleton, Co Cork","Number","34"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Mitchelstown, Co Cork","Number","13"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Carrigtwohill, Co Cork","Number","11"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Fermoy, Co Cork","Number","17"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Rathcormac, Co Cork","Number","2"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Crosshaven, Co Cork","Number","12"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Cobh, Co Cork","Number","39"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Passage West-Monkstown, Co Cork","Number","12"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Watergrasshill, Co Cork","Number","1"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Carrigaline, Co Cork","Number","27"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kinsale, Co Cork","Number","16"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Mallow, Co Cork","Number","39"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Charleville, Co Cork","Number","14"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Bandon, Co Cork","Number","17"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Clonakilty, Co Cork","Number","19"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kanturk, Co Cork","Number","10"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Macroom, Co Cork","Number","12"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Millstreet, Co Cork","Number","4"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Dunmanway, Co Cork","Number","5"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Skibbereen, Co Cork","Number","6"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Bantry, Co Cork","Number","19"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Castleisland, Co Kerry","Number","17"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Listowel, Co Kerry","Number","13"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Killarney, Co Kerry","Number","33"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Kenmare, Co Kerry","Number","6"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Ballybunion, Co Kerry","Number","8"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Tralee, Co Kerry","Number","78"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Killorglin, Co Kerry","Number","6"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Dingle-Daingean Uí Chuis, Co Kerry","Number","8"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Limerick city and suburbs, Counties Limerick & Clare","Number","308"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Caherconlish, Co Limerick","Number","5"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Castleconnell, Co Limerick","Number","8"
"Population with a disability to a great extent","2022","Female","70 - 74 years","Annacotty, Co Limerick","Number","12"
