"Statistic Label","CensusYear","Sex","Administrative Counties","UNIT","VALUE"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Cork County Council","Number","5084"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Kerry County Council","Number","2332"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Limerick City & County Council","Number","3812"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Tipperary County Council","Number","2883"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Waterford City & County Council","Number","2271"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Galway City Council","Number","1737"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Galway County Council","Number","2691"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Leitrim County Council","Number","506"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Mayo  County Council","Number","1943"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Roscommon County Council","Number","1184"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Sligo County Council","Number","1110"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Cavan County Council","Number","1102"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Donegal County Council","Number","2548"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Monaghan County Council","Number","762"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Ireland","Number","39143"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Carlow County Council","Number","523"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Dublin City Council","Number","4831"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Dún Laoghaire Rathdown County Council","Number","1400"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Fingal County Council","Number","2089"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","South Dublin County Council","Number","2369"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Kildare County Council","Number","1850"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Kilkenny County Council","Number","758"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Laois County Council","Number","875"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Longford County Council","Number","334"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Louth County Council","Number","1042"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Meath County Council","Number","1429"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Offaly County Council","Number","763"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Westmeath County Council","Number","758"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Wexford County Council","Number","1382"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Wicklow County Council","Number","1298"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Clare County Council","Number","828"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Cork City Council","Number","2047"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Cork County Council","Number","2432"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Kerry County Council","Number","1167"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Limerick City & County Council","Number","1874"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Tipperary County Council","Number","1435"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Waterford City & County Council","Number","1076"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Galway City Council","Number","777"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Galway County Council","Number","1346"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Leitrim County Council","Number","254"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Mayo  County Council","Number","908"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Roscommon County Council","Number","572"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Sligo County Council","Number","554"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Cavan County Council","Number","563"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Donegal County Council","Number","1221"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Male","Monaghan County Council","Number","388"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Ireland","Number","44130"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Carlow County Council","Number","576"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Dublin City Council","Number","6006"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Dún Laoghaire Rathdown County Council","Number","1915"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Fingal County Council","Number","2512"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","South Dublin County Council","Number","2750"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Kildare County Council","Number","2045"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Kilkenny County Council","Number","790"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Laois County Council","Number","824"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Longford County Council","Number","455"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Louth County Council","Number","1189"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Meath County Council","Number","1594"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Offaly County Council","Number","764"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Westmeath County Council","Number","837"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Wexford County Council","Number","1623"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Wicklow County Council","Number","1438"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Clare County Council","Number","958"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Cork City Council","Number","2456"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Cork County Council","Number","2652"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Kerry County Council","Number","1165"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Limerick City & County Council","Number","1938"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Tipperary County Council","Number","1448"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Waterford City & County Council","Number","1195"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Galway City Council","Number","960"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Galway County Council","Number","1345"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Leitrim County Council","Number","252"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Mayo  County Council","Number","1035"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Roscommon County Council","Number","612"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Sligo County Council","Number","556"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Cavan County Council","Number","539"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Donegal County Council","Number","1327"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Female","Monaghan County Council","Number","374"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Ireland","Number","89260"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Carlow County Council","Number","1146"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Dublin City Council","Number","9819"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","3398"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Fingal County Council","Number","4044"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","South Dublin County Council","Number","4575"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Kildare County Council","Number","3646"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Kilkenny County Council","Number","1917"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Laois County Council","Number","1570"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Longford County Council","Number","973"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Louth County Council","Number","2675"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Meath County Council","Number","3059"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Offaly County Council","Number","1573"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Westmeath County Council","Number","1621"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Wexford County Council","Number","3110"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Wicklow County Council","Number","2510"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Clare County Council","Number","2334"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Cork City Council","Number","4433"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Cork County Council","Number","6164"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Kerry County Council","Number","2879"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Limerick City & County Council","Number","4189"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Tipperary County Council","Number","3534"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Waterford City & County Council","Number","2165"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Galway City Council","Number","1241"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Galway County Council","Number","3617"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Leitrim County Council","Number","755"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Mayo  County Council","Number","3065"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Roscommon County Council","Number","1534"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Sligo County Council","Number","1426"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Cavan County Council","Number","1493"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Donegal County Council","Number","3535"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Both sexes","Monaghan County Council","Number","1260"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Ireland","Number","39383"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Carlow County Council","Number","480"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Dublin City Council","Number","4221"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Dún Laoghaire Rathdown County Council","Number","1342"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Fingal County Council","Number","1749"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","South Dublin County Council","Number","2107"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Kildare County Council","Number","1661"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Kilkenny County Council","Number","849"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Laois County Council","Number","711"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Longford County Council","Number","412"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Louth County Council","Number","1200"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Meath County Council","Number","1399"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Offaly County Council","Number","759"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Westmeath County Council","Number","730"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Wexford County Council","Number","1389"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Wicklow County Council","Number","1121"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Clare County Council","Number","1043"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Cork City Council","Number","1893"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Cork County Council","Number","2776"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Kerry County Council","Number","1265"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Limerick City & County Council","Number","1910"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Tipperary County Council","Number","1615"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Waterford City & County Council","Number","955"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Galway City Council","Number","522"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Galway County Council","Number","1613"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Leitrim County Council","Number","320"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Mayo  County Council","Number","1277"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Roscommon County Council","Number","662"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Sligo County Council","Number","584"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Cavan County Council","Number","681"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Donegal County Council","Number","1571"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Male","Monaghan County Council","Number","566"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Ireland","Number","49877"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Carlow County Council","Number","666"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Dublin City Council","Number","5598"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Dún Laoghaire Rathdown County Council","Number","2056"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Fingal County Council","Number","2295"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","South Dublin County Council","Number","2468"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Kildare County Council","Number","1985"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Kilkenny County Council","Number","1068"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Laois County Council","Number","859"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Longford County Council","Number","561"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Louth County Council","Number","1475"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Meath County Council","Number","1660"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Offaly County Council","Number","814"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Westmeath County Council","Number","891"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Wexford County Council","Number","1721"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Wicklow County Council","Number","1389"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Clare County Council","Number","1291"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Cork City Council","Number","2540"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Cork County Council","Number","3388"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Kerry County Council","Number","1614"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Limerick City & County Council","Number","2279"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Tipperary County Council","Number","1919"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Waterford City & County Council","Number","1210"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Galway City Council","Number","719"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Galway County Council","Number","2004"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Leitrim County Council","Number","435"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Mayo  County Council","Number","1788"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Roscommon County Council","Number","872"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Sligo County Council","Number","842"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Cavan County Council","Number","812"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Donegal County Council","Number","1964"
"Dressing,bathing or getting around inside the home to a greater extent","2022","Female","Monaghan County Council","Number","694"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Ireland","Number","177362"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Carlow County Council","Number","2463"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Dublin City Council","Number","18908"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","6513"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Fingal County Council","Number","8705"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","South Dublin County Council","Number","9377"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Kildare County Council","Number","7483"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Kilkenny County Council","Number","3864"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Laois County Council","Number","3274"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Longford County Council","Number","1769"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Louth County Council","Number","5141"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Meath County Council","Number","6276"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Offaly County Council","Number","3278"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Westmeath County Council","Number","3379"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Wexford County Council","Number","6724"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Wicklow County Council","Number","5319"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Clare County Council","Number","4478"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Cork City Council","Number","8914"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Cork County Council","Number","12237"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Kerry County Council","Number","5882"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Limerick City & County Council","Number","8265"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Tipperary County Council","Number","7034"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Waterford City & County Council","Number","4826"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Galway City Council","Number","2636"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Galway County Council","Number","6709"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Leitrim County Council","Number","1465"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Mayo  County Council","Number","5468"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Roscommon County Council","Number","2858"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Sligo County Council","Number","2649"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Cavan County Council","Number","2726"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Donegal County Council","Number","6545"
"Working at a job or business or attending school or college to a greater extent","2022","Both sexes","Monaghan County Council","Number","2197"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Ireland","Number","82327"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Carlow County Council","Number","1149"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Dublin City Council","Number","8536"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Dún Laoghaire Rathdown County Council","Number","2752"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Fingal County Council","Number","3771"
"Working at a job or business or attending school or college to a greater extent","2022","Male","South Dublin County Council","Number","4328"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Kildare County Council","Number","3498"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Kilkenny County Council","Number","1842"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Laois County Council","Number","1591"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Longford County Council","Number","820"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Louth County Council","Number","2435"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Meath County Council","Number","2931"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Offaly County Council","Number","1581"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Westmeath County Council","Number","1569"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Wexford County Council","Number","3162"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Wicklow County Council","Number","2506"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Clare County Council","Number","2074"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Cork City Council","Number","4063"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Cork County Council","Number","5663"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Kerry County Council","Number","2787"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Limerick City & County Council","Number","3941"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Tipperary County Council","Number","3398"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Waterford City & County Council","Number","2256"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Galway City Council","Number","1227"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Galway County Council","Number","3187"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Leitrim County Council","Number","671"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Mayo  County Council","Number","2462"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Roscommon County Council","Number","1367"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Sligo County Council","Number","1224"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Cavan County Council","Number","1325"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Donegal County Council","Number","3145"
"Working at a job or business or attending school or college to a greater extent","2022","Male","Monaghan County Council","Number","1066"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Ireland","Number","95035"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Carlow County Council","Number","1314"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Dublin City Council","Number","10372"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Dún Laoghaire Rathdown County Council","Number","3761"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Fingal County Council","Number","4934"
"Working at a job or business or attending school or college to a greater extent","2022","Female","South Dublin County Council","Number","5049"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Kildare County Council","Number","3985"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Kilkenny County Council","Number","2022"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Laois County Council","Number","1683"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Longford County Council","Number","949"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Louth County Council","Number","2706"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Meath County Council","Number","3345"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Offaly County Council","Number","1697"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Westmeath County Council","Number","1810"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Wexford County Council","Number","3562"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Wicklow County Council","Number","2813"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Clare County Council","Number","2404"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Cork City Council","Number","4851"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Cork County Council","Number","6574"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Kerry County Council","Number","3095"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Limerick City & County Council","Number","4324"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Tipperary County Council","Number","3636"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Waterford City & County Council","Number","2570"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Galway City Council","Number","1409"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Galway County Council","Number","3522"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Leitrim County Council","Number","794"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Mayo  County Council","Number","3006"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Roscommon County Council","Number","1491"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Sligo County Council","Number","1425"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Cavan County Council","Number","1401"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Donegal County Council","Number","3400"
"Working at a job or business or attending school or college to a greater extent","2022","Female","Monaghan County Council","Number","1131"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Ireland","Number","161097"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Carlow County Council","Number","2084"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Dublin City Council","Number","17766"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","6254"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Fingal County Council","Number","7801"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","South Dublin County Council","Number","8741"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Kildare County Council","Number","6606"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Kilkenny County Council","Number","3432"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Laois County Council","Number","2933"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Longford County Council","Number","1611"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Louth County Council","Number","4755"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Meath County Council","Number","5745"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Offaly County Council","Number","2982"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Westmeath County Council","Number","2979"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Wexford County Council","Number","5782"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Wicklow County Council","Number","4741"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Clare County Council","Number","4132"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Cork City Council","Number","7926"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Cork County Council","Number","11085"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Kerry County Council","Number","5172"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Limerick City & County Council","Number","7383"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Tipperary County Council","Number","6345"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Waterford City & County Council","Number","4228"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Galway City Council","Number","2333"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Galway County Council","Number","6190"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Leitrim County Council","Number","1286"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Mayo  County Council","Number","5047"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Roscommon County Council","Number","2622"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Sligo County Council","Number","2417"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Cavan County Council","Number","2515"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Donegal County Council","Number","6205"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Both sexes","Monaghan County Council","Number","1999"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Ireland","Number","71762"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Carlow County Council","Number","930"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Dublin City Council","Number","7573"
"Participating in other activities,for example leisure or sport to a greater extent","2022","Male","Dún Laoghaire Rathdown County Council","Number","2485"
