"Statistic Label","CensusYear","Sex","Single Year of Age","UNIT","VALUE"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","70 years","Number","1122"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","71 years","Number","1167"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","72 years","Number","1221"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","73 years","Number","1294"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","74 years","Number","1318"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","75 years","Number","1363"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","76 years","Number","1447"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","77 years","Number","1388"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","78 years","Number","1560"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","79 years","Number","1511"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","80 years","Number","1428"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","81 years","Number","1500"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","82 years","Number","1597"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","83 years","Number","1706"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","84 years","Number","1680"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","85 years","Number","1698"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","86 years","Number","1737"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","87 years","Number","1686"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","88 years","Number","1638"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","89 years","Number","1410"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","90 years","Number","1318"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","91 years","Number","1356"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","92 years","Number","1005"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","93 years","Number","939"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","94 years","Number","725"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","95 years","Number","588"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","96 years","Number","423"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","97 years","Number","339"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","98 years","Number","241"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","99 years","Number","182"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","100 years and over","Number","302"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Under 1 year","Number","153"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","1 year","Number","203"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","2 years","Number","248"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","3 years","Number","330"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","4 years","Number","351"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","5 years","Number","381"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","6 years","Number","420"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","7 years","Number","450"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","8 years","Number","456"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","9 years","Number","501"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","10 years","Number","526"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","11 years","Number","571"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","12 years","Number","613"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","13 years","Number","587"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","14 years","Number","618"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","15 years","Number","598"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","16 years","Number","642"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","17 years","Number","759"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","18 years","Number","741"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","19 years","Number","762"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","20 years","Number","853"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","21 years","Number","797"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","22 years","Number","853"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","23 years","Number","880"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","24 years","Number","831"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","25 years","Number","847"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","26 years","Number","815"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","27 years","Number","837"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","28 years","Number","854"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","29 years","Number","888"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","30 years","Number","907"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","31 years","Number","927"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","32 years","Number","997"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","33 years","Number","894"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","34 years","Number","1044"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","35 years","Number","1214"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","36 years","Number","1211"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","37 years","Number","1282"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","38 years","Number","1378"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","39 years","Number","1509"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","40 years","Number","1633"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","41 years","Number","1698"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","42 years","Number","1743"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","43 years","Number","1760"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","44 years","Number","1826"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","45 years","Number","1809"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","46 years","Number","1871"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","47 years","Number","1991"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","48 years","Number","2148"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","49 years","Number","2140"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","50 years","Number","2314"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","51 years","Number","2322"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","52 years","Number","2490"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","53 years","Number","2420"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","54 years","Number","2560"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","55 years","Number","2561"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","56 years","Number","2670"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","57 years","Number","2774"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","58 years","Number","2891"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","59 years","Number","2909"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","60 years","Number","2896"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","61 years","Number","2948"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","62 years","Number","2987"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","63 years","Number","2924"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","64 years","Number","2817"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","65 years","Number","2814"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","66 years","Number","2539"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","67 years","Number","2628"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","68 years","Number","2402"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","69 years","Number","2547"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","70 years","Number","2321"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","71 years","Number","2336"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","72 years","Number","2420"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","73 years","Number","2386"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","74 years","Number","2412"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","75 years","Number","2377"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","76 years","Number","2320"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","77 years","Number","2205"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","78 years","Number","2223"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","79 years","Number","2041"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","80 years","Number","1878"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","81 years","Number","1858"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","82 years","Number","1801"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","83 years","Number","1791"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","84 years","Number","1644"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","85 years","Number","1566"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","86 years","Number","1539"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","87 years","Number","1376"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","88 years","Number","1249"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","89 years","Number","1047"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","90 years","Number","892"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","91 years","Number","800"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","92 years","Number","575"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","93 years","Number","499"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","94 years","Number","371"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","95 years","Number","311"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","96 years","Number","201"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","97 years","Number","163"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","98 years","Number","113"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","99 years","Number","76"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","100 years and over","Number","120"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Under 1 year","Number","85"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","1 year","Number","105"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","2 years","Number","139"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","3 years","Number","190"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","4 years","Number","207"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","5 years","Number","214"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","6 years","Number","252"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","7 years","Number","268"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","8 years","Number","262"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","9 years","Number","292"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","10 years","Number","309"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","11 years","Number","322"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","12 years","Number","337"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","13 years","Number","324"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","14 years","Number","330"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","15 years","Number","295"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","16 years","Number","313"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","17 years","Number","346"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","18 years","Number","324"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","19 years","Number","315"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","20 years","Number","368"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","21 years","Number","317"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","22 years","Number","351"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","23 years","Number","370"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","24 years","Number","324"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","25 years","Number","362"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","26 years","Number","311"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","27 years","Number","312"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","28 years","Number","344"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","29 years","Number","356"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","30 years","Number","370"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","31 years","Number","368"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","32 years","Number","384"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","33 years","Number","346"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","34 years","Number","399"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","35 years","Number","461"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","36 years","Number","459"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","37 years","Number","489"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","38 years","Number","518"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","39 years","Number","587"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","40 years","Number","667"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","41 years","Number","644"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","42 years","Number","673"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","43 years","Number","717"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","44 years","Number","745"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","45 years","Number","753"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","46 years","Number","772"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","47 years","Number","831"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","48 years","Number","861"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","49 years","Number","912"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","50 years","Number","986"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","51 years","Number","1008"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","52 years","Number","1048"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","53 years","Number","1113"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","54 years","Number","1150"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","55 years","Number","1140"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","56 years","Number","1225"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","57 years","Number","1250"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","58 years","Number","1410"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","59 years","Number","1404"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","60 years","Number","1405"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","61 years","Number","1382"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","62 years","Number","1431"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","63 years","Number","1444"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","64 years","Number","1325"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","65 years","Number","1382"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","66 years","Number","1237"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","67 years","Number","1271"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","68 years","Number","1142"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","69 years","Number","1257"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","70 years","Number","1122"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","71 years","Number","1079"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","72 years","Number","1148"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","73 years","Number","1053"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","74 years","Number","1151"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","75 years","Number","1056"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","76 years","Number","1043"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","77 years","Number","964"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","78 years","Number","923"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","79 years","Number","825"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","80 years","Number","779"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","81 years","Number","768"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","82 years","Number","701"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","83 years","Number","689"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","84 years","Number","571"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","85 years","Number","557"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","86 years","Number","563"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","87 years","Number","465"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","88 years","Number","416"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","89 years","Number","363"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","90 years","Number","273"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","91 years","Number","241"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","92 years","Number","146"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","93 years","Number","124"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","94 years","Number","108"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","95 years","Number","65"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","96 years","Number","44"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","97 years","Number","34"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","98 years","Number","16"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","99 years","Number","12"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","100 years and over","Number","19"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Under 1 year","Number","68"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","1 year","Number","98"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","2 years","Number","109"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","3 years","Number","140"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","4 years","Number","144"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","5 years","Number","167"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","6 years","Number","168"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","7 years","Number","182"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","8 years","Number","194"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","9 years","Number","209"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","10 years","Number","217"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","11 years","Number","249"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","12 years","Number","276"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","13 years","Number","263"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","14 years","Number","288"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","15 years","Number","303"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","16 years","Number","329"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","17 years","Number","413"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","18 years","Number","417"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","19 years","Number","447"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","20 years","Number","485"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","21 years","Number","480"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","22 years","Number","502"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","23 years","Number","510"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","24 years","Number","507"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","25 years","Number","485"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","26 years","Number","504"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","27 years","Number","525"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","28 years","Number","510"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","29 years","Number","532"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","30 years","Number","537"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","31 years","Number","559"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","32 years","Number","613"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","33 years","Number","548"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","34 years","Number","645"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","35 years","Number","753"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","36 years","Number","752"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","37 years","Number","793"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","38 years","Number","860"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","39 years","Number","922"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","40 years","Number","966"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","41 years","Number","1054"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","42 years","Number","1070"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","43 years","Number","1043"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","44 years","Number","1081"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","45 years","Number","1056"
